run,step,quality,metric,mean,std,n
ckpt400,500,success,mae,0.23838952123497922,0.07599085183514691,10
ckpt400,500,failure,spearman,0.3023696759203835,0.4544847693141586,10
ckpt400,500,failure,mae,0.3785198825939248,0.16156218088077806,10
ckpt400,550,success,spearman,0.7558620689655171,0.13369061136801647,10
ckpt400,550,success,mae,0.21092623399182533,0.05503885645773296,10
ckpt400,550,failure,spearman,0.41338304402752274,0.5580876401663666,10
ckpt400,550,failure,mae,0.335149279301986,0.15766120925326146,10
ckpt400,600,success,spearman,0.6647830923248053,0.1203287993240632,10
ckpt400,600,success,mae,0.19297310049956043,0.04197648215238604,10
ckpt400,600,failure,spearman,0.387801559418157,0.5531897982458097,10
ckpt400,600,failure,mae,0.28008810905429227,0.15428304521171346,10
