run,step,quality,metric,mean,std,n
rbm4b,15,success,spearman,-0.5536818687430478,0.13337993158347658,10
rbm4b,15,success,mae,0.45557392202860986,0.03453450252839976,10
rbm4b,15,failure,spearman,-0.36730198297779143,0.20805571040644288,10
rbm4b,15,failure,mae,0.40779821594866617,0.06700848668895472,10
rbm4b,50,success,spearman,-0.4080533926585095,0.15628202310175537,10
rbm4b,50,success,mae,0.42964623228802046,0.04684346592961576,10
rbm4b,50,failure,spearman,-0.28166592257878403,0.25480261509443064,10
rbm4b,50,failure,mae,0.3883466007211246,0.0658928372654073,10
rbm4b,100,success,spearman,-0.13557285873192434,0.22456700113240607,10
rbm4b,100,success,mae,0.3489350278842418,0.04860835173348264,10
rbm4b,100,failure,spearman,-0.13508115697559842,0.34034563543998053,10
rbm4b,100,failure,mae,0.3580374119586001,0.06205422361555034,10
rbm4b,150,success,spearman,0.3578642936596218,0.40253666030029833,10
rbm4b,150,success,mae,0.2606528553607253,0.07962994587441177,10
rbm4b,150,failure,spearman,0.17051152000500017,0.3558209305448685,10
rbm4b,150,failure,mae,0.2919725574417195,0.09033035007810697,10
rbm4b,200,success,spearman,0.3058064516129032,0.4186653862764881,10
rbm4b,200,success,mae,0.259673291760652,0.09037414452195977,10
rbm4b,200,failure,spearman,0.0574812071691316,0.3363085244228785,10
rbm4b,200,failure,mae,0.3192054389758657,0.07122393480118683,10
rbm4b,250,success,spearman,0.24965517241379312,0.4066008701438643,10
rbm4b,250,success,mae,0.2599617354540775,0.07532213426817812,10
rbm4b,250,failure,spearman,0.02595004231783387,0.31686871012485845,10
rbm4b,250,failure,mae,0.3445465007952104,0.06789458745251743,10
rbm4b,300,success,spearman,0.019888765294771966,0.4650037204146122,10
rbm4b,300,success,mae,0.307074435936908,0.0733852702494817,10
rbm4b,300,failure,spearman,-0.23587510529786354,0.34242555578537315,10
rbm4b,300,failure,mae,0.3975107779485795,0.050017332242156744,10
rbm4b,350,success,spearman,0.19203559510567295,0.3823492876146737,10
rbm4b,350,success,mae,0.27028817508369685,0.06253356032727839,10
rbm4b,350,failure,spearman,-0.04226493093192152,0.33848909393374405,10
rbm4b,350,failure,mae,0.36503013819766544,0.059702256376868254,10
rbm4b,400,success,spearman,-0.013971078976640688,0.4065312995524954,10
rbm4b,400,success,mae,0.3169768715036722,0.06584761882835377,10
rbm4b,400,failure,spearman,-0.08635432624086051,0.3723525867363138,10
rbm4b,400,failure,mae,0.3610416706243996,0.05773988366220311,10
rbm4b,450,success,spearman,-0.15550611790878754,0.40435329154477373,10
rbm4b,450,success,mae,0.34386015028537564,0.06823439539599407,10
rbm4b,450,failure,spearman,-0.14164800137852201,0.37135924231485257,10
rbm4b,450,failure,mae,0.3722539747746972,0.044770019370801876,10
rbm4b,500,success,spearman,-0.02224694104560624,0.36909922617083935,10
rbm4b,500,success,mae,0.3225482177330802,0.06760985640755345,10
rbm4b,500,failure,spearman,-0.03447208449412509,0.37462425285018014,10
rbm4b,500,failure,mae,0.3549417085526511,0.05365900524743913,10
rbm4b,550,success,spearman,-0.11479421579532811,0.362055237766649,10
rbm4b,550,success,mae,0.34142422692229346,0.06156359525818767,10
rbm4b,550,failure,spearman,-0.05463719563868509,0.3724150925395981,10
rbm4b,550,failure,mae,0.36112121860244467,0.04854365155307796,10
rbm4b,600,success,spearman,-0.28658509454949943,0.35178913914684706,10
rbm4b,600,success,mae,0.38351153071348865,0.05830891855670146,10
rbm4b,600,failure,spearman,-0.1378341573723278,0.3584432676197897,10
rbm4b,600,failure,mae,0.3775545806918914,0.05034877194293541,10
ckpt400,15,success,spearman,-0.14923248053392657,0.19185671669608276,10
ckpt400,15,success,mae,0.3767601468817642,0.05165488889662102,10
ckpt400,15,failure,spearman,0.01600426191608696,0.3972053343285319,10
ckpt400,15,failure,mae,0.34197608910408844,0.09782762566324264,10
ckpt400,50,success,spearman,-0.2704783092324805,0.13188262859277114,10
ckpt400,50,success,mae,0.3878970606205985,0.048552687191361216,10
ckpt400,50,failure,spearman,-0.05686078656239254,0.37084880415858007,10
ckpt400,50,failure,mae,0.36372123563429337,0.10467699328956337,10
ckpt400,100,success,spearman,0.2707452725250278,0.1349778950299125,10
ckpt400,100,success,mae,0.28313740926639486,0.04402010807351576,10
ckpt400,100,failure,spearman,0.24659572493699775,0.5018092197999122,10
ckpt400,100,failure,mae,0.31213023892409786,0.13447185295672942,10
ckpt400,150,success,spearman,0.5974193548387097,0.14020950642970664,10
ckpt400,150,success,mae,0.2165142518856252,0.03862971587647783,10
ckpt400,150,failure,spearman,0.4100212891476042,0.502215693455447,10
